,Both Sets,ack_present,ack_absent,Percent Present
Case reports in genetics,163,93.0,70.0,0.5705521472392638
Journal of injury & violence research,163,39.0,124.0,0.2392638036809816
Journal of cardiovascular disease research,163,47.0,116.0,0.2883435582822086
The Journal of allergy and clinical immunology,162,120.0,42.0,0.7407407407407407
"Journal of molecular medicine (Berlin, Germany)",162,152.0,10.0,0.9382716049382716
Behavioral ecology and sociobiology,162,159.0,3.0,0.9814814814814815
Thyroid research,162,38.0,124.0,0.2345679012345679
"Inquiry : a journal of medical care organization, provision and financing",162,73.0,89.0,0.4506172839506173
Environmental microbiology,162,161.0,1.0,0.9938271604938271
Natural products and bioprospecting,162,160.0,2.0,0.9876543209876543
"Chemical communications (Cambridge, England)",162,20.0,142.0,0.12345679012345678
Journal of skin cancer,162,91.0,71.0,0.5617283950617284
"Alzheimer's & dementia (New York, N. Y.)",161,144.0,17.0,0.8944099378881988
Advances in radiation oncology,161,32.0,129.0,0.19875776397515527
Noise & health,161,79.0,82.0,0.4906832298136646
Journal of personalized medicine,160,129.0,31.0,0.80625
The open respiratory medicine journal,160,130.0,30.0,0.8125
GMS journal for medical education,160,0.0,160.0,0.0
"BMC ear, nose, and throat disorders",160,82.0,78.0,0.5125
Bioconjugate chemistry,160,153.0,7.0,0.95625
Journal of law and the biosciences,160,54.0,106.0,0.3375
Journal of general and family medicine,159,49.0,110.0,0.3081761006289308
Investigational new drugs,159,151.0,8.0,0.949685534591195
Clinical pharmacology : advances and applications,159,82.0,77.0,0.5157232704402516
British journal of haematology,159,139.0,20.0,0.8742138364779874
Journal of nanoparticle research : an interdisciplinary forum for nanoscale science and technology,159,139.0,20.0,0.8742138364779874
Histochemistry and cell biology,159,146.0,13.0,0.9182389937106918
Journal of clinical neonatology,159,21.0,138.0,0.1320754716981132
Prostate international,158,48.0,110.0,0.3037974683544304
International journal of evolutionary biology,158,137.0,21.0,0.8670886075949367
BBA clinical,158,108.0,50.0,0.6835443037974683
Injury epidemiology,158,145.0,13.0,0.9177215189873418
Taiwan journal of ophthalmology,158,23.0,135.0,0.14556962025316456
Journal of pharmaceutical policy and practice,158,112.0,46.0,0.7088607594936709
European journal of translational myology,158,133.0,25.0,0.8417721518987342
Multiple sclerosis international,157,108.0,49.0,0.6878980891719745
International urogynecology journal,157,124.0,33.0,0.7898089171974523
Social indicators research,157,129.0,28.0,0.821656050955414
"Arthritis & rheumatology (Hoboken, N.J.)",157,111.0,46.0,0.7070063694267515
The open nursing journal,157,131.0,26.0,0.8343949044585988
African journal of laboratory medicine,156,145.0,11.0,0.9294871794871795
Maternal and child health journal,156,122.0,34.0,0.782051282051282
Biological trace element research,156,116.0,40.0,0.7435897435897436
Minimally invasive surgery,156,53.0,103.0,0.33974358974358976
Integrative cancer therapies,156,60.0,96.0,0.38461538461538464
"Diseases (Basel, Switzerland)",156,98.0,58.0,0.6282051282051282
Dermato-endocrinology,156,47.0,109.0,0.30128205128205127
Microbial genomics,156,144.0,12.0,0.9230769230769231
Environmental health and toxicology,156,118.0,38.0,0.7564102564102564
Diabetes spectrum : a publication of the American Diabetes Association,155,129.0,26.0,0.832258064516129
The Journal of pathology,155,150.0,5.0,0.967741935483871
Archivum immunologiae et therapiae experimentalis,155,119.0,36.0,0.7677419354838709
JA clinical reports,154,127.0,27.0,0.8246753246753247
Acta radiologica open,154,36.0,118.0,0.23376623376623376
Biochemical Society transactions,154,64.0,90.0,0.4155844155844156
Clinical and experimental vaccine research,154,5.0,149.0,0.032467532467532464
Korean journal of neurotrauma,154,3.0,151.0,0.01948051948051948
Molecular ecology,153,151.0,2.0,0.9869281045751634
JACC. Basic to translational science,153,61.0,92.0,0.39869281045751637
BJPsych international,153,7.0,146.0,0.0457516339869281
Journal of dental anesthesia and pain medicine,153,49.0,104.0,0.3202614379084967
Journal of advances in medical education & professionalism,153,87.0,66.0,0.5686274509803921
Age and ageing,153,96.0,57.0,0.6274509803921569
Substance abuse : research and treatment,153,87.0,66.0,0.5686274509803921
Amino acids,153,146.0,7.0,0.954248366013072
Journal of cancer research and clinical oncology,152,133.0,19.0,0.875
Archives of virology,152,134.0,18.0,0.881578947368421
Cancer causes & control : CCC,152,138.0,14.0,0.9078947368421053
Lupus science & medicine,152,70.0,82.0,0.4605263157894737
Occupational and environmental medicine,152,89.0,63.0,0.5855263157894737
"Acta crystallographica. Section D, Structural biology",152,137.0,15.0,0.9013157894736842
Obesity science & practice,152,103.0,49.0,0.6776315789473685
Journal of current glaucoma practice,152,12.0,140.0,0.07894736842105263
Research in cardiovascular medicine,151,103.0,48.0,0.6821192052980133
The application of clinical genetics,151,77.0,74.0,0.5099337748344371
"Medical hypothesis, discovery & innovation ophthalmology journal",151,22.0,129.0,0.1456953642384106
Tropical medicine & international health : TM & IH,151,127.0,24.0,0.8410596026490066
Journal of family & reproductive health,151,140.0,11.0,0.9271523178807947
Dose-response : a publication of International Hormesis Society,151,57.0,94.0,0.37748344370860926
Journal of materials science. Materials in medicine,151,136.0,15.0,0.9006622516556292
Toxicological sciences : an official journal of the Society of Toxicology,151,116.0,35.0,0.7682119205298014
Genes & nutrition,151,145.0,6.0,0.9602649006622517
"Journal of neural transmission (Vienna, Austria : 1996)",151,125.0,26.0,0.8278145695364238
Gene regulation and systems biology,150,104.0,46.0,0.6933333333333334
Patient related outcome measures,150,93.0,57.0,0.62
Annals of neurology,150,147.0,3.0,0.98
Journal of clinical & translational endocrinology,149,95.0,54.0,0.6375838926174496
Clinical sarcoma research,149,80.0,69.0,0.5369127516778524
Comparative hepatology,148,58.0,90.0,0.3918918918918919
Clinical pharmacology and therapeutics,148,117.0,31.0,0.7905405405405406
International seminars in surgical oncology : ISSO,148,54.0,94.0,0.36486486486486486
Critical ultrasound journal,148,75.0,73.0,0.5067567567567568
BMJ open gastroenterology,148,53.0,95.0,0.3581081081081081
Living reviews in relativity,147,125.0,22.0,0.8503401360544217
European journal of public health,147,113.0,34.0,0.7687074829931972
The FEBS journal,147,143.0,4.0,0.9727891156462585
"Multiple sclerosis journal - experimental, translational and clinical",147,89.0,58.0,0.6054421768707483
The British journal of psychiatry : the journal of mental science,146,102.0,44.0,0.6986301369863014
GE Portuguese journal of gastroenterology,146,11.0,135.0,0.07534246575342465
"Acta crystallographica. Section F, Structural biology communications",146,131.0,15.0,0.8972602739726028
Journal of equine science,146,81.0,65.0,0.5547945205479452
Monatshefte fur chemie,146,134.0,12.0,0.9178082191780822
JMM case reports,146,115.0,31.0,0.7876712328767124
Developmental biology,146,144.0,2.0,0.9863013698630136
Virchows Archiv : an international journal of pathology,146,121.0,25.0,0.8287671232876712
Pediatric radiology,146,93.0,53.0,0.636986301369863
Sports medicine - open,145,134.0,11.0,0.9241379310344827
The open virology journal,145,134.0,11.0,0.9241379310344827
Molecular biology reports,145,135.0,10.0,0.9310344827586207
Journal of occupational rehabilitation,145,135.0,10.0,0.9310344827586207
Cold Spring Harbor molecular case studies,144,0.0,144.0,0.0
Archives of gynecology and obstetrics,144,121.0,23.0,0.8402777777777778
Plant molecular biology,144,141.0,3.0,0.9791666666666666
Journal of orthodontic science,144,28.0,116.0,0.19444444444444445
Neurobiology of aging,144,136.0,8.0,0.9444444444444444
Chemical research in toxicology,144,87.0,57.0,0.6041666666666666
Renal failure,144,5.0,139.0,0.034722222222222224
Annals of botany,144,141.0,3.0,0.9791666666666666
Briefings in bioinformatics,143,85.0,58.0,0.5944055944055944
World journal of cardiology,143,0.0,143.0,0.0
ISRN gastroenterology,143,70.0,73.0,0.48951048951048953
The British journal of general practice : the journal of the Royal College of General Practitioners,143,108.0,35.0,0.7552447552447552
"Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc",143,135.0,8.0,0.9440559440559441
Cardiovascular and interventional radiology,143,95.0,48.0,0.6643356643356644
Advances in virology,143,114.0,29.0,0.7972027972027972
Electrolyte & blood pressure : E & BP,142,50.0,92.0,0.352112676056338
Infection and immunity,142,137.0,5.0,0.9647887323943662
The Journal of neuroscience : the official journal of the Society for Neuroscience,142,1.0,141.0,0.007042253521126761
Ci ji yi xue za zhi = Tzu-chi medical journal,142,36.0,106.0,0.2535211267605634
Journal of gastrointestinal surgery : official journal of the Society for Surgery of the Alimentary Tract,142,103.0,39.0,0.7253521126760564
Environmental management,142,138.0,4.0,0.971830985915493
AIDS care,142,84.0,58.0,0.5915492957746479
Journal of experimental orthopaedics,141,111.0,30.0,0.7872340425531915
"Acta paediatrica (Oslo, Norway : 1992)",141,109.0,32.0,0.7730496453900709
BioImpacts : BI,141,9.0,132.0,0.06382978723404255
Neurointervention,141,34.0,107.0,0.24113475177304963
PharmacoEconomics,141,112.0,29.0,0.7943262411347518
Journal of pathogens,141,101.0,40.0,0.7163120567375887
BMJ open quality,140,93.0,47.0,0.6642857142857143
Australia and New Zealand health policy,140,96.0,44.0,0.6857142857142857
Biomacromolecules,140,139.0,1.0,0.9928571428571429
Calcified tissue international,140,123.0,17.0,0.8785714285714286
West of England medical journal,140,0.0,140.0,0.0
Contrast media & molecular imaging,140,116.0,24.0,0.8285714285714286
The pharmacogenomics journal,140,135.0,5.0,0.9642857142857143
Journal of lipids,139,109.0,30.0,0.7841726618705036
"GMS current topics in otorhinolaryngology, head and neck surgery",139,0.0,139.0,0.0
"Sports medicine, arthroscopy, rehabilitation, therapy & technology : SMARTT",139,9.0,130.0,0.06474820143884892
Geochemical transactions,139,85.0,54.0,0.6115107913669064
Plastic surgery international,139,57.0,82.0,0.41007194244604317
Drug delivery,139,9.0,130.0,0.06474820143884892
Immunology and cell biology,139,131.0,8.0,0.9424460431654677
Cancer gene therapy,138,130.0,8.0,0.9420289855072463
Drug safety,138,115.0,23.0,0.8333333333333334
ISRN neurology,138,84.0,54.0,0.6086956521739131
The open neurology journal,138,109.0,29.0,0.7898550724637681
Journal of menopausal medicine,138,70.0,68.0,0.5072463768115942
Brain tumor research and treatment,138,42.0,96.0,0.30434782608695654
Evolution; international journal of organic evolution,138,138.0,0.0,1.0
Inorganic chemistry,138,137.0,1.0,0.9927536231884058
African journal of disability,137,135.0,2.0,0.9854014598540146
Protoplasma,137,133.0,4.0,0.9708029197080292
ISRN dentistry,137,69.0,68.0,0.5036496350364964
Immunogenetics,137,119.0,18.0,0.8686131386861314
Dermatology reports,137,23.0,114.0,0.1678832116788321
Interactive journal of medical research,137,114.0,23.0,0.8321167883211679
Movement ecology,137,132.0,5.0,0.9635036496350365
Frontiers in neuroengineering,137,113.0,24.0,0.8248175182481752
Tuberculosis research and treatment,137,116.0,21.0,0.8467153284671532
Current controlled trials in cardiovascular medicine,137,40.0,97.0,0.291970802919708
Journal of vascular surgery cases and innovative techniques,137,12.0,125.0,0.08759124087591241
Cerebrovascular diseases extra,137,81.0,56.0,0.5912408759124088
Regenerative biomaterials,137,89.0,48.0,0.6496350364963503
Systematic biology,136,111.0,25.0,0.8161764705882353
Chiropractic & osteopathy,136,55.0,81.0,0.40441176470588236
Journal of brachial plexus and peripheral nerve injury,136,0.0,136.0,0.0
Journal of chemical ecology,136,132.0,4.0,0.9705882352941176
Nursing open,136,76.0,60.0,0.5588235294117647
"BioEssays : news and reviews in molecular, cellular and developmental biology",135,120.0,15.0,0.8888888888888888
"Channels (Austin, Tex.)",135,47.0,88.0,0.34814814814814815
Acta myologica : myopathies and cardiomyopathies : official journal of the Mediterranean Society of Myology,135,65.0,70.0,0.48148148148148145
Adipocyte,135,81.0,54.0,0.6
Research and reports in urology,135,43.0,92.0,0.31851851851851853
Magnetic resonance in medical sciences : MRMS : an official journal of Japan Society of Magnetic Resonance in Medicine,135,60.0,75.0,0.4444444444444444
Nursing and midwifery studies,135,114.0,21.0,0.8444444444444444
Radiology research and practice,135,57.0,78.0,0.4222222222222222
Geophysical research letters,135,135.0,0.0,1.0
Prostate cancer,135,69.0,66.0,0.5111111111111111
International journal of family medicine,134,90.0,44.0,0.6716417910447762
Health psychology open,134,68.0,66.0,0.5074626865671642
Zdravstveno varstvo,134,41.0,93.0,0.30597014925373134
African journal of paediatric surgery : AJPS,134,14.0,120.0,0.1044776119402985
Clinical pharmacokinetics,134,100.0,34.0,0.746268656716418
BMJ paediatrics open,134,78.0,56.0,0.582089552238806
JBRA assisted reproduction,133,42.0,91.0,0.3157894736842105
International journal of health sciences,133,42.0,91.0,0.3157894736842105
"Attention, perception & psychophysics",133,114.0,19.0,0.8571428571428571
Clinical drug investigation,133,111.0,22.0,0.8345864661654135
BMC clinical pharmacology,133,68.0,65.0,0.5112781954887218
Journal of therapeutic ultrasound,133,81.0,52.0,0.6090225563909775
Mobile genetic elements,132,87.0,45.0,0.6590909090909091
Cell transplantation,132,58.0,74.0,0.4393939393939394
Environmental health and preventive medicine,132,129.0,3.0,0.9772727272727273
International journal of bipolar disorders,132,105.0,27.0,0.7954545454545454
Carcinogenesis,132,104.0,28.0,0.7878787878787878
Journal of chemical information and modeling,132,126.0,6.0,0.9545454545454546
"Journal of immunology (Baltimore, Md. : 1950)",132,109.0,23.0,0.8257575757575758
Molecular imaging and biology : MIB : the official publication of the Academy of Molecular Imaging,131,123.0,8.0,0.9389312977099237
Anemia,131,88.0,43.0,0.6717557251908397
Pediatric neurology briefs,131,0.0,131.0,0.0
"Clinical, cosmetic and investigational dentistry",131,55.0,76.0,0.4198473282442748
Basic research in cardiology,131,117.0,14.0,0.8931297709923665
Central Asian journal of global health,131,21.0,110.0,0.16030534351145037
Journal of the American Society for Mass Spectrometry,131,123.0,8.0,0.9389312977099237
ISRN endocrinology,131,94.0,37.0,0.7175572519083969
Core evidence,131,40.0,91.0,0.3053435114503817
International journal of implant dentistry,131,101.0,30.0,0.7709923664122137
"Bladder cancer (Amsterdam, Netherlands)",130,49.0,81.0,0.3769230769230769
Ophthalmology and therapy,130,130.0,0.0,1.0
Drugs - real world outcomes,130,99.0,31.0,0.7615384615384615
Journal of clinical immunology,129,106.0,23.0,0.8217054263565892
Curationis,129,129.0,0.0,1.0
Molecular breeding : new strategies in plant improvement,129,123.0,6.0,0.9534883720930233
Chembiochem : a European journal of chemical biology,129,128.0,1.0,0.9922480620155039
Journal of molecular signaling,129,51.0,78.0,0.3953488372093023
Acute medicine & surgery,129,47.0,82.0,0.3643410852713178
International journal of public health,129,102.0,27.0,0.7906976744186046
Health and human rights,129,60.0,69.0,0.46511627906976744
Marine biology,129,127.0,2.0,0.9844961240310077
ISRN surgery,128,46.0,82.0,0.359375
Journal of epilepsy research,128,48.0,80.0,0.375
JAK-STAT,128,80.0,48.0,0.625
Journal of orthopaedic translation,128,77.0,51.0,0.6015625
"Biophysics (Nagoya-shi, Japan)",128,110.0,18.0,0.859375
The open neuroimaging journal,128,103.0,25.0,0.8046875
Genetics research international,128,97.0,31.0,0.7578125
International journal of retina and vitreous,128,124.0,4.0,0.96875
Journal of stem cells & regenerative medicine,128,51.0,77.0,0.3984375
Nature chemistry,128,128.0,0.0,1.0
Clinical research in cardiology : official journal of the German Cardiac Society,128,101.0,27.0,0.7890625
Journal of medical ethics and history of medicine,127,72.0,55.0,0.5669291338582677
Journal of abnormal child psychology,127,117.0,10.0,0.9212598425196851
Biotechnology research international,127,96.0,31.0,0.7559055118110236
"Medical oncology (Northwood, London, England)",127,104.0,23.0,0.8188976377952756
Health promotion perspectives,127,0.0,127.0,0.0
The open biochemistry journal,127,115.0,12.0,0.905511811023622
Accounts of chemical research,127,102.0,25.0,0.8031496062992126
Cancer,126,11.0,115.0,0.0873015873015873
Journal of biomolecular NMR,126,125.0,1.0,0.9920634920634921
Investigative genetics,126,15.0,111.0,0.11904761904761904
Asia Oceania journal of nuclear medicine & biology,126,52.0,74.0,0.4126984126984127
Alcohol research & health : the journal of the National Institute on Alcohol Abuse and Alcoholism,126,53.0,73.0,0.42063492063492064
World journal of urology,126,115.0,11.0,0.9126984126984127
The Lancet. Global health,126,117.0,9.0,0.9285714285714286
The British journal of nutrition,126,123.0,3.0,0.9761904761904762
Vascular specialist international,126,23.0,103.0,0.18253968253968253
Toxics,125,99.0,26.0,0.792
Journal of gastroenterology,125,111.0,14.0,0.888
Journal of clinical pathology,125,68.0,57.0,0.544
"Microarrays (Basel, Switzerland)",125,105.0,20.0,0.84
Wiener klinische Wochenschrift,125,95.0,30.0,0.76
Geriatric orthopaedic surgery & rehabilitation,125,24.0,101.0,0.192
Jundishapur journal of natural pharmaceutical products,125,110.0,15.0,0.88
Biomaterials research,125,117.0,8.0,0.936
International journal of food science,125,83.0,42.0,0.664
Anatomy research international,125,70.0,55.0,0.56
Allergy,125,109.0,16.0,0.872
Arthritis,124,78.0,46.0,0.6290322580645161
Archives of orthopaedic and trauma surgery,124,95.0,29.0,0.7661290322580645
ISRN pharmacology,124,93.0,31.0,0.75
Transactions of the Royal Society of Tropical Medicine and Hygiene,124,117.0,7.0,0.9435483870967742
Mental illness,124,40.0,84.0,0.3225806451612903
Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,124,67.0,57.0,0.5403225806451613
Journal of cancer epidemiology,123,100.0,23.0,0.8130081300813008
Heart international,123,27.0,96.0,0.21951219512195122
GMS Krankenhaushygiene interdisziplinar,123,0.0,123.0,0.0
World journal of clinical cases,123,0.0,123.0,0.0
Journal of circadian rhythms,122,64.0,58.0,0.5245901639344263
Journal of audiology & otology,122,69.0,53.0,0.5655737704918032
Alcohol research : current reviews,122,73.0,49.0,0.5983606557377049
"Clinical science (London, England : 1979)",122,28.0,94.0,0.22950819672131148
Medical & biological engineering & computing,122,105.0,17.0,0.860655737704918
GMS health technology assessment,122,0.0,122.0,0.0
Nephron extra,122,70.0,52.0,0.5737704918032787
Open access rheumatology : research and reviews,122,54.0,68.0,0.4426229508196721
"Perioperative medicine (London, England)",122,79.0,43.0,0.6475409836065574
Applied & translational genomics,121,68.0,53.0,0.5619834710743802
Journal of neurochemistry,121,116.0,5.0,0.9586776859504132
Case reports in hepatology,121,18.0,103.0,0.1487603305785124
Journal of medical ethics,121,66.0,55.0,0.5454545454545454
"Medical sciences (Basel, Switzerland)",121,85.0,36.0,0.7024793388429752
Advanced pharmaceutical bulletin,121,0.0,121.0,0.0
eNeurologicalSci,121,60.0,61.0,0.49586776859504134
Autism research and treatment,121,84.0,37.0,0.6942148760330579
"Cough (London, England)",121,34.0,87.0,0.2809917355371901
Bone research,121,111.0,10.0,0.9173553719008265
Biochemical and biophysical research communications,120,116.0,4.0,0.9666666666666667
Psychonomic bulletin & review,120,88.0,32.0,0.7333333333333333
Laryngoscope investigative otolaryngology,120,40.0,80.0,0.3333333333333333
Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,120,73.0,47.0,0.6083333333333333
Advances in preventive medicine,120,80.0,40.0,0.6666666666666666
Chronic diseases and translational medicine,120,56.0,64.0,0.4666666666666667
Viszeralmedizin,120,10.0,110.0,0.08333333333333333
Trauma case reports,120,22.0,98.0,0.18333333333333332
Poultry science,120,97.0,23.0,0.8083333333333333
European journal of radiology open,119,47.0,72.0,0.3949579831932773
European clinical respiratory journal,119,47.0,72.0,0.3949579831932773
Cancer biology & therapy,119,48.0,71.0,0.40336134453781514
Jornal vascular brasileiro,119,4.0,115.0,0.03361344537815126
Leukemia research reports,119,47.0,72.0,0.3949579831932773
Indian journal of dentistry,119,9.0,110.0,0.07563025210084033
Local and regional anesthesia,119,31.0,88.0,0.2605042016806723
Iranian journal of pathology,119,66.0,53.0,0.5546218487394958
Molecular and cellular biochemistry,119,100.0,19.0,0.8403361344537815
American journal of men's health,118,46.0,72.0,0.3898305084745763
"Adolescent health, medicine and therapeutics",118,42.0,76.0,0.3559322033898305
Ecology letters,118,118.0,0.0,1.0
The Lancet. Infectious diseases,118,104.0,14.0,0.8813559322033898
Addictive behaviors reports,118,49.0,69.0,0.4152542372881356
Worm,117,68.0,49.0,0.5811965811965812
Journal of rural medicine : JRM,117,60.0,57.0,0.5128205128205128
International journal of stem cells,117,83.0,34.0,0.7094017094017094
Journal of pharmaceutical health care and sciences,117,103.0,14.0,0.8803418803418803
International journal of telerehabilitation,117,65.0,52.0,0.5555555555555556
World journal of gastrointestinal endoscopy,117,0.0,117.0,0.0
NMC case report journal,117,18.0,99.0,0.15384615384615385
Endocrinology,116,114.0,2.0,0.9827586206896551
Endocrine,116,97.0,19.0,0.8362068965517241
Substance abuse and rehabilitation,116,81.0,35.0,0.6982758620689655
Photosynthesis research,116,113.0,3.0,0.9741379310344828
The Journal of nutrition,116,116.0,0.0,1.0
The Thoracic and cardiovascular surgeon reports,116,19.0,97.0,0.16379310344827586
Proteomics,116,113.0,3.0,0.9741379310344828
"Global mental health (Cambridge, England)",116,102.0,14.0,0.8793103448275862
"Age (Dordrecht, Netherlands)",116,111.0,5.0,0.9568965517241379
European journal of endocrinology,115,74.0,41.0,0.6434782608695652
"Multiple sclerosis (Houndmills, Basingstoke, England)",115,81.0,34.0,0.7043478260869566
Neuroscience,115,110.0,5.0,0.9565217391304348
Epilepsia open,115,71.0,44.0,0.6173913043478261
European journal of pediatric surgery reports,115,13.0,102.0,0.11304347826086956
Parasitology,115,98.0,17.0,0.8521739130434782
Iranian journal of pediatric hematology and oncology,115,78.0,37.0,0.6782608695652174
Molecular therapy oncolytics,115,107.0,8.0,0.9304347826086956
NPJ breast cancer,115,101.0,14.0,0.8782608695652174
"Current therapeutic research, clinical and experimental",115,107.0,8.0,0.9304347826086956
Clinical diabetes : a publication of the American Diabetes Association,114,98.0,16.0,0.8596491228070176
Nano convergence,114,109.0,5.0,0.956140350877193
Clinical medicine insights. Arthritis and musculoskeletal disorders,114,36.0,78.0,0.3157894736842105
The Journal of membrane biology,114,99.0,15.0,0.868421052631579
"Bioscience of microbiota, food and health",114,77.0,37.0,0.6754385964912281
"Eye and vision (London, England)",114,86.0,28.0,0.7543859649122807
Therapeutic advances in gastroenterology,114,60.0,54.0,0.5263157894736842
European biophysics journal : EBJ,114,101.0,13.0,0.8859649122807017
Malaria research and treatment,114,91.0,23.0,0.7982456140350878
"Molecules (Basel, Switzerland)",114,110.0,4.0,0.9649122807017544
BMC hematology,114,89.0,25.0,0.7807017543859649
Heredity,113,109.0,4.0,0.9646017699115044
Journal of cardiovascular development and disease,113,95.0,18.0,0.8407079646017699
Cortex; a journal devoted to the study of the nervous system and behavior,113,109.0,4.0,0.9646017699115044
The Veterinary record,113,82.0,31.0,0.7256637168141593
Journal of mathematical neuroscience,113,52.0,61.0,0.46017699115044247
Immunity,113,107.0,6.0,0.9469026548672567
Dentistry journal,113,64.0,49.0,0.5663716814159292
Annals of the New York Academy of Sciences,113,89.0,24.0,0.7876106194690266
Microbial ecology,112,108.0,4.0,0.9642857142857143
Global qualitative nursing research,112,72.0,40.0,0.6428571428571429
Circulation,112,7.0,105.0,0.0625
Journal of signal transduction,112,85.0,27.0,0.7589285714285714
BioMedicine,112,38.0,74.0,0.3392857142857143
Reproductive medicine and biology,112,67.0,45.0,0.5982142857142857
Current health sciences journal,111,27.0,84.0,0.24324324324324326
GMS hygiene and infection control,111,0.0,111.0,0.0
Psychiatry journal,111,76.0,35.0,0.6846846846846847
Cerebrum : the Dana forum on brain science,111,5.0,106.0,0.04504504504504504
Transgenic research,111,102.0,9.0,0.918918918918919
Nature materials,111,110.0,1.0,0.990990990990991
Microbial ecology in health and disease,111,55.0,56.0,0.4954954954954955
Open access emergency medicine : OAEM,111,35.0,76.0,0.3153153153153153
Veterinary record open,111,82.0,29.0,0.7387387387387387
Journal of the Medical Library Association : JMLA,111,44.0,67.0,0.3963963963963964
Sleep disorders,110,79.0,31.0,0.7181818181818181
Neurobiology of stress,110,93.0,17.0,0.8454545454545455
"CASE (Philadelphia, Pa.)",110,11.0,99.0,0.1
"Papillomavirus research (Amsterdam, Netherlands)",110,78.0,32.0,0.7090909090909091
SAS journal,110,23.0,87.0,0.20909090909090908
Epilepsy research and treatment,110,45.0,65.0,0.4090909090909091
GMS Interdisciplinary plastic and reconstructive surgery DGPW,110,0.0,110.0,0.0
Research and practice in thrombosis and haemostasis,110,54.0,56.0,0.4909090909090909
Trauma surgery & acute care open,110,26.0,84.0,0.23636363636363636
Neurochemical research,110,97.0,13.0,0.8818181818181818
Behavior genetics,109,104.0,5.0,0.9541284403669725
Internet interventions,109,87.0,22.0,0.7981651376146789
Experimental & translational stroke medicine,109,11.0,98.0,0.10091743119266056
Audiology research,109,62.0,47.0,0.5688073394495413
Molecular biology international,109,83.0,26.0,0.7614678899082569
The Journal of endocrinology,109,75.0,34.0,0.6880733944954128
Schizophrenia research and treatment,109,74.0,35.0,0.6788990825688074
Digital health,109,68.0,41.0,0.6238532110091743
Journal of human hypertension,109,98.0,11.0,0.8990825688073395
"Journal of child psychology and psychiatry, and allied disciplines",109,109.0,0.0,1.0
"Heart, lung and vessels",109,15.0,94.0,0.13761467889908258
Cardiology and therapy,108,107.0,1.0,0.9907407407407407
Journal of human genetics,108,101.0,7.0,0.9351851851851852
International journal of proteomics,108,89.0,19.0,0.8240740740740741
Extreme physiology & medicine,108,32.0,76.0,0.2962962962962963
Journal of natural products,108,105.0,3.0,0.9722222222222222
Movement disorders : official journal of the Movement Disorder Society,108,77.0,31.0,0.7129629629629629
Arthritis care & research,108,72.0,36.0,0.6666666666666666
ISRN cardiology,108,51.0,57.0,0.4722222222222222
Vascular cell,108,16.0,92.0,0.14814814814814814
Chemistry of materials : a publication of the American Chemical Society,108,106.0,2.0,0.9814814814814815
Surgery research and practice,108,29.0,79.0,0.26851851851851855
Cognitive research: principles and implications,108,105.0,3.0,0.9722222222222222
Small GTPases,107,47.0,60.0,0.4392523364485981
NPJ schizophrenia,107,96.0,11.0,0.897196261682243
Analytical chemistry insights,107,54.0,53.0,0.5046728971962616
Journal of pharmaceutics,107,71.0,36.0,0.6635514018691588
Journal of trauma management & outcomes,107,24.0,83.0,0.22429906542056074
Behavior research methods,107,92.0,15.0,0.8598130841121495
Journal of nephropharmacology,107,0.0,107.0,0.0
Clinical and experimental nephrology,107,89.0,18.0,0.8317757009345794
Annals of vascular diseases,106,26.0,80.0,0.24528301886792453
"Traffic (Copenhagen, Denmark)",106,105.0,1.0,0.9905660377358491
Diabetic foot & ankle,106,18.0,88.0,0.16981132075471697
Genetic vaccines and therapy,106,63.0,43.0,0.5943396226415094
International journal of plant genomics,106,89.0,17.0,0.839622641509434
"Tomography (Ann Arbor, Mich.)",106,92.0,14.0,0.8679245283018868
World journal of gastrointestinal oncology,106,0.0,106.0,0.0
Journal of nephropathology,106,1.0,105.0,0.009433962264150943
JMIR human factors,106,90.0,16.0,0.8490566037735849
The California journal of emergency medicine,105,0.0,105.0,0.0
Acta radiologica short reports,105,13.0,92.0,0.12380952380952381
Journal of optometry,105,47.0,58.0,0.44761904761904764
Journal of Parkinson's disease,105,74.0,31.0,0.7047619047619048
"Medicine, health care, and philosophy",105,72.0,33.0,0.6857142857142857
Animal cognition,105,98.0,7.0,0.9333333333333333
Chemical reviews,105,102.0,3.0,0.9714285714285714
"Jamba (Potchefstroom, South Africa)",104,103.0,1.0,0.9903846153846154
Cardiovascular psychiatry and neurology,104,58.0,46.0,0.5576923076923077
Neuroradiology,104,90.0,14.0,0.8653846153846154
Environmental sciences Europe,104,102.0,2.0,0.9807692307692307
Journal of market access & health policy,104,31.0,73.0,0.2980769230769231
International urology and nephrology,104,92.0,12.0,0.8846153846153846
The British journal of dermatology,104,69.0,35.0,0.6634615384615384
Auto- immunity highlights,104,67.0,37.0,0.6442307692307693
Chromosoma,103,96.0,7.0,0.9320388349514563
Journal of clinical bioinformatics,103,6.0,97.0,0.05825242718446602
Cancer & metabolism,103,58.0,45.0,0.5631067961165048
Annals of African medicine,103,22.0,81.0,0.21359223300970873
Research involvement and engagement,103,95.0,8.0,0.9223300970873787
Journal of experimental neuroscience,103,45.0,58.0,0.4368932038834951
