,filename,Is Female (Weighted),Names,Nouns,Organizations,Text,Verbs
3478,AMB_Express/PMC5438323.nxml,0.0,Satoshi Kawamoto,β-mannanase;protein;sequence;peptide;sequencer,,We thank Dr. Satoshi Kawamoto for analyzing the β-mannanase protein sequence via a peptide sequencer.,thank;analyze
3480,AMB_Express/PMC5442072.nxml,1.0,Andrea Windisch,assistance,,We are grateful to Andrea Windisch for excellent technical assistance.,
3482,AMB_Express/PMC5442031.nxml,0.0,Yusuke Takada,faculty,GC;MS and NMR Laboratory;Research faculty of Agriculture;Hokkaido University;MS;NMR,"We thank Mr. Yusuke Takada (GC–MS and NMR Laboratory, Research faculty of Agriculture, Hokkaido University) for MS and NMR analyses.",thank;analyse
3484,AMB_Express/PMC5449350.nxml,1.0,Jing Zhao,helps;experiments,,We thank Jing Zhao for giving some helps in performing the experiments.,thank;give;perform
3486,AMB_Express/PMC5457385.nxml,0.0,Peter Cotty,thanks;equipment;use;advice;reviewers;editors;suggestions;presentation;work,USDA,"Special thanks to Dr. Peter Cotty, USDA–ARS, for equipment use and technical advice, and to the reviewers and editors for helpful suggestions regarding the presentation of this work.",
3488,AMB_Express/PMC5451374.nxml,0.0,Ahmed Hassen,authors;assistance,the Agriculture Research Council-Plant Protection Research Institute;ST34 (SARCC 696;the South African Rhizobium Culture Collection,The authors would also like to thank Dr. Ahmed Hassen at the Agriculture Research Council-Plant Protection Research Institute for his assistance in depositing the bacterial strains ST34 (SARCC 696) and ST5 (SARCC 697) to the South African Rhizobium Culture Collection.,like;thank;deposit;strain
3491,AMB_Express/PMC5451376.nxml,0.0,Ahmed Hassen,authors;assistance,the ARC-Plant Protection Research Institute;ST34 (SARCC 696;the South African Rhizobium Culture Collection,The authors would also like to thank Dr. Ahmed Hassen at the ARC-Plant Protection Research Institute for his assistance in depositing the bacterial strains ST34 (SARCC 696) and ST5 (SARCC 697) to the South African Rhizobium Culture Collection.,like;thank;deposit;strain
3492,AMB_Express/PMC5459778.nxml,1.0,Cecily A. Ryan,help;preparations;films,,We also thank Cecily A. Ryan for help with the preparations of PHA thin films.,thank
3493,AMB_Express/PMC5459786.nxml,1.0,Henna Sood,fellowship;vide;No,University Grants Commission;UPE,Henna Sood is thankful to University Grants Commission for UPE fellowship vide Letter No.,
3499,AMB_Express/PMC5469723.nxml,0.0,Gary Yuen’s,,,Gary Yuen’s,
3506,AMB_Express/PMC5483222.nxml,1.0,Hana Šanderová,,,We wish to thank Libor Krásný and Hana Šanderová,wish;thank
3507,AMB_Express/PMC5483222.nxml,0.0,Pavel Branny,discussions;advice;reading;manuscript,"Institute of Microbiology, Prague;Institute of Microbiology","(Institute of Microbiology, Prague) for many helpful discussions and technical advice and Pavel Branny (Institute of Microbiology, Prague) for critical reading of the manuscript.",
3511,AMB_Express/PMC5487313.nxml,1.0,Joyce Yau,dubliniensis,Department of Oral Biology;University of Hong Kong; C.;ATCC,"We would also like to thank Ms. Joyce Yau of Department of Oral Biology, University of Hong Kong for donating  C. dubliniensis  ATCC strains.",like;thank;donate;strain
3513,AMB_Express/PMC5503855.nxml,1.0,Karol Leluk,cooperation;electron;microscopy,Wroclaw University of Science and Technology,"We thank Karol Leluk (Wroclaw University of Science and Technology, Poland) for his cooperation in scanning electron microscopy.",thank;scan
3514,AMB_Express/PMC5514006.nxml,1.0,Ping Yu,authors;assistance;manuscript,,The authors are thankful to Mr. Ping Yu for technical assistance and commenting on the manuscript.,comment
3520,AMB_Express/PMC5533696.nxml,0.0,Grant Agreement,support;study;ERA;Net,Project PGSYS-EXCHANGE;EU-PIRSES#269211;ERA;PGYSYS;INTENSO PROJECT;European Union Seventh Framework Programme,"Partial support for this study was provided from Project PGSYS-EXCHANGE EU-PIRSES#269211, ERA Net Euro TransBio-3, PGYSYS, INTENSO PROJECT, European Union Seventh Framework Programme (FP7/2013–2017) under Grant Agreement",provide
3521,AMB_Express/PMC5548705.nxml,0.0,Volker Sieber,authors,,The authors are grateful to Prof. Dr. Volker Sieber and Dr.-Ing. Jochen,
3522,AMB_Express/PMC5567573.nxml,0.0,Bruce Boschek,Assistance;drafting;manuscript,,Assistance by Bruce Boschek in drafting of the manuscript is gratefully acknowledged.,acknowledge
3524,AMB_Express/PMC5567581.nxml,0.0,Xiaofeng Ban,guidance,,We also thank Dr. Xiaofeng Ban for valuable guidance.,thank
3525,AMB_Express/PMC5583138.nxml,1.0,Carolina Suarez,authors;help;FISH;analysis;core;facility;support;use;equipment,the Centre for Cellular Imaging;the University of Gothenburg,The authors would like to acknowledge Carolina Suarez for her valuable help in FISH analysis and the Centre for Cellular Imaging and the Genomics core facility at the University of Gothenburg for support and use of their equipment.,like;acknowledge
3526,AMB_Express/PMC5603468.nxml,0.0,Hamid Ariannejad,authors;assistant,,The authors wish to thank Dr. Hamid Ariannejad for his technical assistant.,wish;thank
3530,AMB_Express/PMC5597564.nxml,1.0,Boxin Guan,Ph.D.;candidate;computer;science,Northeastern University,"Boxin Guan is a Ph.D. candidate in computer science, Northeastern University, China.",
3531,AMB_Express/PMC5597564.nxml,0.0,Changsheng Zhang,professor,"the School of Computer Science and Engineering, Northeastern University","Changsheng Zhang is an associate professor in the School of Computer Science and Engineering, Northeastern University, China.",
3535,AMB_Express/PMC5622019.nxml,0.0,Matyas Kosa,authors;collaborators;Microorganisms;comments;insights,,The authors thank collaborators of the “Synthetic Microorganisms to Enable Lignin to Fuel Conversion” and Matyas Kosa for his comments and insights.,thank;enable
3536,AMB_Express/PMC5622018.nxml,0.0,Sajjad Mirza,Authors,Environmental Biotechnology Division;National Institute for Biotechnology and Genetic Engineering,"Authors are highly thankful to Dr. Sajjad Mirza, Deputy Chief Scientist, Environmental Biotechnology Division, National Institute for Biotechnology and Genetic Engineering (NIBGE)",
3539,AMB_Express/PMC5622026.nxml,0.0,Finn L. Aachmann,discussions;enzyme;substrate;specificity;design,NTNU-NT-Biotechnology and Food Science,We are grateful to Prof. Finn L. Aachmann at NTNU-NT-Biotechnology and Food Science for fruitful scientific discussions on enzyme–substrate specificity and experimental design.,
3542,AMB_Express/PMC5668215.nxml,0.0,Chen Yang,colony;sample;coculture;study,,"We thank Dr. Chen Yang for providing the  Microcystis  colony sample, which is used to establish the coculture in this study.",thank;provide;establish
3545,AMB_Express/PMC5688048.nxml,0.0,Hyun Koo,comments;manuscript,University of Pennsylvania,We thank Dr. Hyun Koo at University of Pennsylvania for helpful comments on the manuscript.,thank
3548,AMB_Express/PMC5698238.nxml,0.0,Masaki Fujita,authors;assistance,Noriko Shimozono,The authors thank Noriko Shimozono and Masaki Fujita for providing technical assistance.,thank;provide
3553,AMB_Express/PMC5758488.nxml,1.0,Jie Zhang,idea;study;hypothesis;revisions;figures;approval;publication,,"XY and JZ (Jie Zhang) conceived the idea of the study, put forward the hypothesis and made the final revisions of figures, and gave the final approval for publication.",conceive;give
3555,AMB_Express/PMC5738332.nxml,1.0,Jing Zhao,assistance;experiments,,We thank Jing Zhao for assistance in performing the experiments.,thank;perform
3566,AMB_Express/PMC5838027.nxml,0.0,Stephan Noack,addition;thanks;project;proteomics;analysis;XylD;protein,ERASysAPP XyloCut;Jülich Forschungszentrum,"In addition, special thanks to Stephan Noack and Bianca Klein from the ERASysAPP XyloCut project for performing the proteomics analysis on XylD protein at Jülich Forschungszentrum.",perform
3567,AMB_Express/PMC5833890.nxml,1.0,Carla Roberts,Thanks;writing;services,,Thanks Carla Roberts for her professional writing services.,
3569,AMB_Express/PMC5834416.nxml,1.0,Ola Wallberg,lignin;stream;samples,the Department of Chemical Engineering;Lund University,We would also like to thank Ola Wallberg and Basel Al-Rudainy from the Department of Chemical Engineering at Lund University for providing the lignin-containing stream samples.,like;thank;provide;contain
3579,AMB_Express/PMC5897269.nxml,0.0,Mitsuo Umetsu,Professors,Professors Izumi Kumagai,We thank Professors Izumi Kumagai and Mitsuo Umetsu,thank
3583,AMB_Express/PMC5913057.nxml,1.0,Cao Yangchun,Author;thanks;ideas;guidance;co;supervision;work,,"Author (Abbasi IHR) would like to thanks Professor Cao Yangchun for his ideas, guidance, and kind co-supervision of this Doctorate work.",like
3584,AMB_Express/PMC5918145.nxml,1.0,Diana Imhof,research;group;pentapeptides,the Pharmaceutical Chemistry;Institute of Pharmacy;Rheinische-Friedrich-Wilhelms-University,"We would like to thank Prof. Dr. Diana Imhof and their research group at the Pharmaceutical Chemistry I, Institute of Pharmacy, Rheinische-Friedrich-Wilhelms-University (Bonn, Germany) for the pentapeptides.",like;thank
3586,AMB_Express/PMC5936483.nxml,0.0,Jeroen Frank,bioinformatics;pipelines;discussions;rRNA;gene;diversity;analysis,,Jeroen Frank is thanked for setting up bioinformatics pipelines and for useful discussions on 16S rRNA gene diversity analysis.,thank;set
3588,AMB_Express/PMC5936483.nxml,0.0,Veni Grant,,,(Veni Grant 863.13.007).,
3590,AMB_Express/PMC5935603.nxml,0.0,Allan R. J. Eaglesham,Authors;review,,Authors thank Dr. Allan R. J. Eaglesham for English review.,thank
3594,AMB_Express/PMC5962521.nxml,1.0,Anna Liu,language;version;manuscript,Yale University,We thank Anna Liu from Yale University for English language editing with an earlier version of the manuscript.,thank;edit
3595,AMB_Express/PMC5962525.nxml,1.0,Mariam Hassan,thanks;lecturer;assistance;analyses;data;study,Department of Microbiology and Immunology;Faculty of Pharmacy;Cairo University,"Special thanks to Mariam Hassan, assistant lecturer, Department of Microbiology and Immunology, Faculty of Pharmacy, Cairo University for her kind assistance in statistical analyses of data in this study.",
3598,AMB_Express/PMC5972131.nxml,1.0,Karina Grigoryan,fungi;strains,Yerevan State University,"Prof. Liparit Navasardyan and Dr. Karina Grigoryan from Yerevan State University, Yerevan (Armenia), for providing fungi strains.",provide
3603,AMB_Express/PMC5984946.nxml,0.0,Ivan Hajnal,reading;editing;manuscript,,Ivan Hajnal for critical reading and editing of our manuscript.,
3606,AMB_Express/PMC6008273.nxml,0.0,Niu et al,accession;numbers;haemolytica;reference;phages;references,GenBank; M.,A similar GenBank accession numbers of  M. haemolytica  reference phages have been available also in references Niu et al.,
3611,AMB_Express/PMC6029982.nxml,1.0,Reiko Shimooka,assistance,,We thank Reiko Shimooka and Kaori Matsumoto for their experimental assistance.,thank
3614,AMB_Express/PMC6029982.nxml,0.0,Shenghao Liu,communications;comments;manuscript;experiments,Kao Corporation,"Finally, we thank Shenghao Liu (Kao Corporation) for helpful communications and useful comments on this manuscript and experiments.",thank
3617,AMB_Express/PMC6039349.nxml,0.0,Sudipto Pal,thanks;prof,,We would like to give special thanks to Dr. Sudipto Pal and prof.,like
3620,AMB_Express/PMC6049852.nxml,1.0,Ping Chen,assistance;experiment,,We thank Ping Chen for his assistance to the electrochemical experiment.,thank
3623,AMB_Express/PMC6057861.nxml,0.0,Mario Kienz,authors;support,Sven Tewes;TU Dortmund University,"The authors would like to thank Mario Kienz and Sven Tewes, TU Dortmund University, Dortmund, Germany, for experimental support.",like;thank
3625,AMB_Express/PMC6057861.nxml,0.0,Kyle J. Lauersen,authors;manuscript,Bielefeld University,"The authors thank Dr. Kyle J. Lauersen, CeBiTec at Bielefeld University, for critical manuscript reading.",thank;read
3628,AMIA_Jt_Summits_Transl_Sci_Proc/PMC3248757.nxml,0.0,Rama Kocherlakota,authors;assistance;database,GenBank,The authors thank Dr. Rama Kocherlakota for assistance with the local GenBank database.,thank
3633,AMIA_Jt_Summits_Transl_Sci_Proc/PMC3392053.nxml,1.0,Donna Ihrke,advice,,We also thank Deepak Sharma and Donna Ihrke for their advice on improving Semantator.,thank;improve
3636,AMIA_Jt_Summits_Transl_Sci_Proc/PMC3392062.nxml,0.0,Nick Tatonetti,copy;AERS;data,,We acknowledge Nick Tatonetti for providing us with a copy of AERS data.,acknowledge;provide
3638,AMIA_Jt_Summits_Transl_Sci_Proc/PMC3392056.nxml,0.0,Richard Steinman,review;manuscript;submission;reviewers;comments,,We also thank Richard Steinman for his careful review of this manuscript prior to final submission and the anonymous reviewers for their thoughtful comments.,thank
3643,AMIA_Jt_Summits_Transl_Sci_Proc/PMC3845770.nxml,0.0,Michael Dziabiak,editing,,"Michael Dziabiak, assisted with editing.
",assist
3648,AMIA_Jt_Summits_Transl_Sci_Proc/PMC3845755.nxml,1.0,Christina M. Wood-Wentz,authors;data;preparation;metadata,Mayo Clinic,"
The authors would like to thank Ms. Christina M. Wood-Wentz, Mayo Clinic, for data preparation and metadata.",like;thank
3650,AMIA_Jt_Summits_Transl_Sci_Proc/PMC3814479.nxml,0.0,Erwin Bottinger,,Omri Gottesman;Mayo Clinic,Erwin Bottinger and Omri Gottesman) and Mayo Clinic (Drs.,
3655,AMIA_Jt_Summits_Transl_Sci_Proc/PMC4333708.nxml,1.0,Janet T. Lee,authors;annotation;notes;study,,The authors thank Dr. Janet T. Lee for annotation of the patient notes for this study.,thank
3656,AMIA_Jt_Summits_Transl_Sci_Proc/PMC4419754.nxml,0.0,Luke Rasmussen,authors;evaluators;study,Northwestern University,The authors would like to thank Luke Rasmussen (Northwestern University) for helping with recruiting evaluators for our study.,like;thank;help;recruit
3657,AMIA_Jt_Summits_Transl_Sci_Proc/PMC4419764.nxml,0.0,Igor Sominsky,work;Ph.D.,Anni Coden,"We would like to thank and acknowledge the work of Anni Coden, Ph.D. Michael Tanenblatt, Igor Sominsky, et al.",like;thank;acknowledge
3660,AMIA_Jt_Summits_Transl_Sci_Proc/PMC4419767.nxml,0.0,David Pilasky,data;study,SciVal Expert™,We thank Mr. David Pilasky for providing the exported SciVal Expert™ data for this study.,thank;provide;export
3663,AMIA_Jt_Summits_Transl_Sci_Proc/PMC4419753.nxml,1.0,Jean Charlet,expertise;web;technologies;mapping,,We thank Jean Charlet who provided expertise on semantic web technologies and ontology mapping.,thank;provide
3664,AMIA_Jt_Summits_Transl_Sci_Proc/PMC4419761.nxml,0.0,Craig Kuziemsky,practices;support;guidance;input;contributions;co;researchers,"Simon de Lusignan;the UNSW School of Public Health & Community Medicine;UNSW Research Centres;Primary Health Care & Equity, Health Informatics;Asia-Pacific Ubiquitous Health Care","We thank the participating general practices for their support and guidance, the conceptual input of Simon de Lusignan and Craig Kuziemsky, and contributions of co-researchers from the UNSW School of Public Health & Community Medicine and the following UNSW Research Centres: Primary Health Care & Equity, Health Informatics and Asia-Pacific Ubiquitous Health Care.",thank;participate;follow
3667,AMIA_Jt_Summits_Transl_Sci_Proc/PMC4525224.nxml,0.0,Gregory F. Cooper,java;code,,We thank Dr. Gregory F. Cooper for providing the EBMC java code.,thank;provide
3669,AMIA_Jt_Summits_Transl_Sci_Proc/PMC4525242.nxml,0.0,Gerald Tesauro,code;learning;kernel;regression,,We thank Gerald Tesauro for sharing the code for metric learning for kernel regression.,thank;share
3670,AMIA_Jt_Summits_Transl_Sci_Proc/PMC5001742.nxml,0.0,Fred Bosman,author;research;group;data;study,PETACC3,"The author also thanks PETACC3 translational research group and Prof. Fred Bosman in particular, for making available the data for the present study.",thank;make
3671,AMIA_Jt_Summits_Transl_Sci_Proc/PMC4525221.nxml,0.0,George Hripcsak,discussions;coding;EHRs,ADE,"We thank George Hripcsak, MD for useful discussions on ADE coding in EHRs.",thank
3673,AMIA_Jt_Summits_Transl_Sci_Proc/PMC4525237.nxml,0.0,Scott Silvey,assistance;data;extraction,Tara Payne,We would like to thank Tara Payne and Scott Silvey for their assistance with data extraction.,like;thank
3675,AMIA_Jt_Summits_Transl_Sci_Proc/PMC4525262.nxml,0.0,Amos Cahan,authors,,The authors would like to sincerely thank Dr. Amos Cahan and Dr. Xinxin,like;thank
3677,AMIA_Jt_Summits_Transl_Sci_Proc/PMC4525269.nxml,0.0,Philippe Lemey,authors;Ph.D.;suggestions;approach;number;sampling;locations,,"The authors would like to thank Philippe Lemey, Ph.D., for his suggestions regarding a GLM approach for a large number of observed sampling locations.",like;thank
3679,AMIA_Jt_Summits_Transl_Sci_Proc/PMC4525258.nxml,0.0,Siddhartha Jonnalagadda,authors;implementation;systems,Soheil Moosavinasab,The authors would like to thank Soheil Moosavinasab and Siddhartha Jonnalagadda for providing us the implementation of their systems.,like;thank;provide
3682,AMIA_Jt_Summits_Transl_Sci_Proc/PMC4525226.nxml,0.0,Soheil Meshinchi,author;help;data;input;data;analysis,the Children’ Oncology Group,The author would like to acknowledge Dr. Soheil Meshinchi for his help and guidance with requesting data from the Children’ Oncology Group and his input on data analysis.,like;acknowledge;guidance;request
3683,AMIA_Jt_Summits_Transl_Sci_Proc/PMC5001777.nxml,0.0,David H. Murdock,gift,Duke University,"The MURDOCK Study is based in Kannapolis, North Carolina and is made possible with a generous gift from Mr. David H. Murdock to Duke University.",base
3684,AMIA_Jt_Summits_Transl_Sci_Proc/PMC5001770.nxml,0.0,Gilbert Doan,authors;contributions;testing;environment,BS,"The authors thank Gilbert Doan, BS, for contributions in managing the testing environment.",thank;manage
3685,AMIA_Jt_Summits_Transl_Sci_Proc/PMC5001765.nxml,1.0,Mary Regina Boland,comments;version;manuscript,,We thank Mary Regina Boland for valuable comments on a previous version of the manuscript.,thank
3687,AMIA_Jt_Summits_Transl_Sci_Proc/PMC5001767.nxml,1.0,Beth Devine,colleagues;feedback,the Precision Medicine Informatics Group;Sean Mooney,"We would also like to thank all our colleagues in the Precision Medicine Informatics Group, especially Sean Mooney and Beth Devine, for their valuable feedback.",like;thank
3691,AMIA_Jt_Summits_Transl_Sci_Proc/PMC5001771.nxml,0.0,Joseph Romano,Thanks;comments;version;manuscript,,Thanks to Joseph Romano for comments on an earlier version of the manuscript.,
3693,AMIA_Jt_Summits_Transl_Sci_Proc/PMC5001745.nxml,0.0,Nathan Huff,authors;teamwork;collaboration;team;staff;assistance,the Fairview Health Services Data Reporting;UMN Academic Health Center-Information Services;CTSI ICS;Minnesota Supercomputing Institute;the Natural Language Processing-Information Extraction Program,"The authors would like to acknowledge the teamwork and collaboration provided by the Fairview Health Services Data Reporting and Analytics team, UMN Academic Health Center-Information Services, CTSI ICS staff, Minnesota Supercomputing Institute, and the Natural Language Processing-Information Extraction Program, including technical assistance by Nathan Huff.",like;acknowledge;provide;include
3694,AMIA_Jt_Summits_Transl_Sci_Proc/PMC5001754.nxml,0.0,Kenneth D. Mandl,Informatics,the Patient Voice (PI;Boston Area Research Training Program;Biomedical Informatics,Adding the Patient Voice (PI: Dr. Kenneth D. Mandl) and by T15LM007092 - Boston Area Research Training Program in Biomedical Informatics,add
3695,AMIA_Jt_Summits_Transl_Sci_Proc/PMC5001754.nxml,1.0,Alexa T. McCray,,PI,(PI: Dr. Alexa T. McCray).,
3702,AMIA_Jt_Summits_Transl_Sci_Proc/PMC5543350.nxml,1.0,Jane Paulsen,Data;work;participants,the Huntington Study Group,"Data used in this work was generously provided by the participants in PREDICT-HD and made available by the PREDICT-HD Investigators and Coordinators of the Huntington Study Group, Jane Paulsen, Principal Investigator.",provide
3703,AMIA_Jt_Summits_Transl_Sci_Proc/PMC5543352.nxml,1.0,Amanda Preston,author;editing;comments,,The author gratefully acknowledges Amanda Preston for editing and providing comments.,acknowledge;provide
3704,AMIA_Jt_Summits_Transl_Sci_Proc/PMC5543363.nxml,0.0,Milos Hauskrecht,data;project,ICU,We thank Dr. Milos Hauskrecht for providing the ICU data that were extracted and processed in another project.,thank;provide;extract;process
3705,AMIA_Jt_Summits_Transl_Sci_Proc/PMC5543367.nxml,1.0,Susan Raysor,data;project,Yuliya Borovskiy;the University of Pennsylvania Penn Data Store,"We would like to thank Susan Raysor and Yuliya Borovskiy, M.S. from the University of Pennsylvania Penn Data Store for extracting the data used for this project.",like;thank;extract
3706,AMIA_Jt_Summits_Transl_Sci_Proc/PMC5543390.nxml,0.0,James F. Brinkley,authors;comments;paper,,The authors are thankful to Dr. James F. Brinkley for helpful comments on the paper.,
3708,AMIA_Jt_Summits_Transl_Sci_Proc/PMC5543376.nxml,1.0,Lauren Mitchell,proof;reading;manuscript;suggestions,,We thank Lauren Mitchell for careful proof reading of the manuscript and for making insightful suggestions to make it better readable.,thank;make
3715,AMIA_Jt_Summits_Transl_Sci_Proc/PMC5961801.nxml,1.0,Jen Gong,authors;input;suggestions,,The authors would like to thank Jen Gong for her input and suggestions.,like;thank
3721,AMIA_Jt_Summits_Transl_Sci_Proc/PMC5961812.nxml,1.0,Lei Xie,correspondence;Email,,"To whom correspondence should be addressed: Lei Xie, Email: lei.xie@hunter.cuny.edu",address
3730,AMS_Public_Health/PMC4398966.nxml,0.0,Peter F. McManus,points;view;position,the U.S. Government;National Development and Research Institutes Inc.,"The points of view expressed do not represent the official position of the U.S. Government, NIAAA, NIDA, Peter F. McManus Charitable Trust, or National Development and Research Institutes Inc.",express;represent
3732,ANZ_J_Surg/PMC4371646.nxml,1.0,Eunice Costa,illustrations,,Eunice Costa for the wonderful illustrations.,
3735,APMIS/PMC2774150.nxml,1.0,Birgitte Jepsen,assistance,,The technical assistance of Birgitte Jepsen is highly appreciated.,appreciate
3738,APMIS/PMC2774155.nxml,1.0,Philippa Matthews,discussions;reading;manuscript,,We gratefully acknowledge Dr. Philippa Matthews for helpful discussions and reading of the manuscript.,acknowledge
3739,APMIS/PMC3003908.nxml,0.0,Stefan Christensen,assistance;assistance;trial;samples,Birgit Thierry-Carstensen,They are also very grateful for the statistical assistance provided by Mr Stefan Christensen and for assistance with clinical trial samples by Ms Birgit Thierry-Carstensen.,provide
3742,APMIS/PMC3132448.nxml,1.0,Ebba Lund,contact;arms,,"My first contact was Professor Ebba Lund, who welcomed me with open arms.",welcome
3743,APMIS/PMC3132448.nxml,0.0,Axel Kornerup Hansen,professor;collaboration;shape,,"In 2001 I became professor at Life, and my collaboration with Professor Axel Kornerup Hansen took shape.",take
3745,APMIS/PMC3132448.nxml,0.0,Knud Josefsen,co;authors,,I would like to thank all my co-authors and to mention especially one: Knud Josefsen.,like;thank;mention
3747,APMIS/PMC3443379.nxml,1.0,Mara Di Giulio,Authors;fellowship,Foundation Carichieti’,"Authors thank the ‘Foundation Carichieti’, Abruzzo-Italy, for the fellowship attributed to Drs Mara Di Giulio and Susi Zara.",thank;attribute
3751,APMIS/PMC4153957.nxml,1.0,Kirsten Nikolajsen,help;flow,,We greatly appreciate the help in flow sorting by Kirsten Nikolajsen.,appreciate;sort
3754,APMIS/PMC4282442.nxml,1.0,Mimmi Tolvanen,assistance;PhD;editing;manuscript,,We also thank PhD Mimmi Tolvanen for expert statistical assistance and PhD Robert M.Badeau is thanked for the linguistic editing of this manuscript.,thank;thank
3761,ARYA_Atheroscler/PMC3347832.nxml,1.0,Safoura Yazdekhasti,science;thanks;assistance,,We would like to express our science thanks to Miss Safoura Yazdekhasti for this assistance.,like;express
3772,ARYA_Atheroscler/PMC4834182.nxml,1.0,Farideh Najafi,authors;comments,,The authors wish to thank Dr. Farideh Najafi for his valuable comments.,wish;thank
3775,ARYA_Atheroscler/PMC3681281.nxml,0.0,Shaheed Beheshti Clinics,authors;staff;assistance;project,Naghavi,"The authors would like to thank the staff of Naghavi and Shaheed Beheshti Clinics, Kashan (Iran) for their assistance in this project.",like;thank
3776,ARYA_Atheroscler/PMC3933057.nxml,1.0,Fereshte Aliasghari,authors;investigation;article;thesis;MSc;student;nutrition;sciences;author;article,,"The authors would like to hereby declare that the investigation undertaken and described in this article has been extracted from the thesis of our MSc student of nutrition sciences, Ms. Fereshte Aliasghari, the second author of this article.",like;declare;undertake;describe;extract
3777,ARYA_Atheroscler/PMC3933057.nxml,1.0,Nasrin Shokrpour,authors;assistance,the Center for Development of Clinical Research of Nemazee Hospital,"The authors would also like to thank Dr. Nasrin Shokrpour, at the Center for Development of Clinical Research of Nemazee Hospital, for editorial assistance.",like;thank
3778,ARYA_Atheroscler/PMC4460354.nxml,0.0,Ali Gholamrezaei,analyses;report,,We are thankful to Dr. Ali Gholamrezaei for statistical analyses and editing the report.,edit
3779,ARYA_Atheroscler/PMC4460351.nxml,0.0,Rahil Ghahramani MD,authors;cooperation;paper,,The authors have gratefully thank Rahil Ghahramani MD for their cooperation and editing this paper.,thank;edit
3781,ARYA_Atheroscler/PMC4063519.nxml,1.0,Safoura Yazdekhasti,efforts,,"We gratefully acknowledge the efforts of Mrs. Safoura Yazdekhasti.
",acknowledge
3782,ARYA_Atheroscler/PMC4063521.nxml,0.0,Ali Gholamrezaei,Authors;data;analyses;report,,Authors are thankful to Dr. Ali Gholamrezaei (Poursina Hakim Research Institution) for helping us in data analyses and preparing this report.,help;prepare
3785,ARYA_Atheroscler/PMC4173314.nxml,0.0,Yadollah Pournia,authors;instructor;language,Lorestan University of Medical Sciences;Clinical Research Center of Lorestan University of Medical Sciences,The authors are grateful to Mr. Yadollah Pournia (instructor of English language at Lorestan University of Medical Sciences) and Clinical Research Center of Lorestan University of Medical Sciences.,
3787,ARYA_Atheroscler/PMC4173313.nxml,0.0,Mohammad Bolhasani,study;thesis,,This study was extracted from a thesis by Mohammad Bolhasani.,extract
3788,ARYA_Atheroscler/PMC4144375.nxml,1.0,Fatemeh Hosseinzadeh,authors;manuscript,,The authors would like to thank Mrs. Fatemeh Hosseinzadeh for editing the manuscript.,like;thank;edit
3790,ARYA_Atheroscler/PMC4251479.nxml,0.0,Ali Gholamrezaei,staff;data;gathering;data;analyses;report,the Alzahra Hospital CTA Unit,We are thankful for the Alzahra Hospital CTA Unit staff for helping us in data gathering and Dr. Ali Gholamrezaei for conducting data analyses and editing this report.,help;conduct;edit
3791,ARYA_Atheroscler/PMC4251480.nxml,0.0,Saeed Akhlaghi,analyses,,Saeed Akhlaghi for undertaking statistical analyses.,undertake
3792,ARYA_Atheroscler/PMC4354085.nxml,0.0,Mohammad Hadi Abbasi,participation;gathering;grading;articles;review,Zahedan University of Medical Sciences,We gratefully acknowledge Dr Mohammad Hadi Abbasi from Zahedan University of Medical Sciences for the participation in gathering and grading articles included in the review,acknowledge;include
3794,ARYA_Atheroscler/PMC4834178.nxml,0.0,Farshad Amouzadeh,authors;assistance,,The authors wish to thank Mr. Farshad Amouzadeh for editorial assistance.,wish;thank
3795,ARYA_Atheroscler/PMC4593661.nxml,1.0,Nasrin Shokrpour,authors;assistance,Center for Development of Clinical Research of Nemazee Hospital,"The authors would like to thank Dr. Nasrin Shokrpour at Center for Development of Clinical Research of Nemazee Hospital, Shiraz, Iran, for editorial assistance.",like;thank
3797,ARYA_Atheroscler/PMC4593658.nxml,1.0,Hajar Angiography,staff;cooperation;study,CCU Centers,We acknowledge all staff of Hajar Angiography and CCU Centers for their cooperation in this study.,acknowledge
3799,ARYA_Atheroscler/PMC4738044.nxml,1.0,Marzieh Safaei,manuscript;dissertation;master;degree;community;health;nursing,,This manuscript has been derived from the dissertation of Ms. Marzieh Safaei for the master’s degree in community health nursing.,derive
3800,ARYA_Atheroscler/PMC4738048.nxml,1.0,Negar Darvish,research;fulfillment;requirements;certification;specialist;community;medicine,Shiraz University of Medical Sciences,This research was performed by Negar Darvish in partial fulfillment of the requirements for certification as a specialist in community medicine at Shiraz University of Medical Sciences.,perform
3801,ARYA_Atheroscler/PMC4593662.nxml,1.0,Fatemah Sameinasab,study;thesis,,This study was extracted from a thesis by Fatemah Sameinasab.,extract
3806,ARYA_Atheroscler/PMC4460352.nxml,0.0,Ali Gholamrezaei,Unit;staff;data;gathering;data;analyses;report,,We are thankful for the Chamran Hospital Angiography Unit staff for helping us in data gathering and Dr. Ali Gholamrezaei for conducting data analyses and editing this report.,help;conduct;edit
3807,ARYA_Atheroscler/PMC5055373.nxml,0.0,Mohammad Talaei,authors;data;cohort;unit;collaboration,the Cardiovascular Research Center;Isfahan University of Medical Sciences;ICS,"The authors are grateful to the Cardiovascular Research Center, Isfahan University of Medical Sciences for providing the ICS data set, Dr. Mohammad Talaei, Head cohort unit, for collaboration.",provide;set
